top - 15:56:25 up 2 days,  5:22,  0 users,  load average: 0.10, 0.16, 0.21
Tasks: 222 total,   1 running, 212 sleeping,   6 stopped,   3 zombie
%Cpu(s): 11.6 us,  1.1 sy,  0.0 ni, 87.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  31940.9 total,    632.3 free,   1017.9 used,  30290.7 buff/cache
MiB Swap:   8192.0 total,   8187.7 free,      4.2 used.  30409.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 957673 truong    20   0  981980 114984  37620 S   6.7   0.4   0:08.31 node
      1 root      20   0  168888  12220   8288 S   0.0   0.0   0:08.14 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.05 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri
      8 root      20   0       0      0      0 I   0.0   0.0   0:20.19 kworker/0:1-events
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_rude_
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks_trace
     13 root      20   0       0      0      0 S   0.0   0.0   0:00.59 ksoftirqd/0
     14 root      20   0       0      0      0 I   0.0   0.0   0:48.80 rcu_sched
     15 root      rt   0       0      0      0 S   0.0   0.0   0:00.97 migration/0
     16 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/0
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/1
     20 root      rt   0       0      0      0 S   0.0   0.0   0:01.18 migration/1
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.65 ksoftirqd/1
     23 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0H-events_highpri
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     25 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/2
     26 root      rt   0       0      0      0 S   0.0   0.0   0:01.18 migration/2
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.44 ksoftirqd/2
     29 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2:0H-events_highpri
     30 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     31 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/3
     32 root      rt   0       0      0      0 S   0.0   0.0   0:01.17 migration/3
     33 root      20   0       0      0      0 S   0.0   0.0   0:00.80 ksoftirqd/3
     35 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/3:0H-events_highpri
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/4
     37 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/4
     38 root      rt   0       0      0      0 S   0.0   0.0   0:01.18 migration/4
     39 root      20   0       0      0      0 S   0.0   0.0   0:00.33 ksoftirqd/4
     41 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/4:0H-events_highpri
     42 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/5
     43 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_inject/5
     44 root      rt   0       0      0      0 S   0.0   0.0   0:01.23 migration/5
     45 root      20   0       0      0      0 S   0.0   0.0   0:01.09 ksoftirqd/5
     47 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/5:0H-events_highpri
     48 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_frag_wq
     50 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     51 root      20   0       0      0      0 S   0.0   0.0   0:00.10 khungtaskd
     52 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
     53 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
     54 root      20   0       0      0      0 S   0.0   0.0   0:09.39 kcompactd0
     55 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     56 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepaged
    102 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrityd
    103 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
    104 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_punt_bio
    105 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev_wq
    106 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
    107 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
    108 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poller
    109 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq_wq
    110 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
    112 root       0 -20       0      0      0 I   0.0   0.0   0:00.53 kworker/0:1H-kblockd
    114 root      20   0       0      0      0 S   0.0   0.0   0:12.91 kswapd0
    115 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptfs-kthrea
    118 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
    119 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/120-aerdrv
    120 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/120-pcie-dp
    121 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_thermal_pm
    123 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-irqfd-clea
    124 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
    125 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_addrconf
    135 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    140 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-shrink
    147 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger_manager
    169 root       0 -20       0      0      0 I   0.0   0.0   0:00.58 kworker/1:1H-kblockd
    200 root       0 -20       0      0      0 I   0.0   0.0   0:00.72 kworker/4:1H-kblockd
    203 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-wq
    204 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-reset-wq
    205 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-delete-wq
    209 root       0 -20       0      0      0 I   0.0   0.0   0:00.51 kworker/3:1H-kblockd
    210 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh_0
    211 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_0
    212 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_1
    213 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_1
    214 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_2
    215 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_2
    216 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_3
    217 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_3
    222 root       0 -20       0      0      0 I   0.0   0.0   0:00.65 kworker/5:1H-kblockd
    239 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 raid5wq
    264 root      20   0       0      0      0 S   0.0   0.0   0:00.31 jbd2/nvme0n1p2-
    265 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-conver
    272 root       0 -20       0      0      0 I   0.0   0.0   0:00.63 kworker/2:1H-kblockd
    326 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rpciod
    328 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xprtiod
    333 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipmi-msghandler
    387 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/131-mei_me
    425 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jbd2/nvme0n1p6-
    426 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-conver
    428 root      20   0       0      0      0 S   0.0   0.0   0:06.80 jbd2/nvme0n1p4-
    429 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-conver
    435 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    469 root      20   0       0      0      0 S   0.0   0.0   0:02.61 jbd2/nvme0n1p5-
    471 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-conver
    523 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc0
    524 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc1
    525 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-crtc2
    526 root      20   0    4980   2480   2172 S   0.0   0.0   0:00.00 rpc.gssd
    529 _rpc      20   0    7108   3684   3260 S   0.0   0.0   0:00.35 rpcbind
    543 root      20   0    2548    768    700 S   0.0   0.0   0:00.01 acpid
    546 message+  20   0   24232   6276   4920 S   0.0   0.0   0:02.30 dbus-daemon
    551 root      20   0   81892   3488   3152 S   0.0   0.0   0:18.90 irqbalance
    554 root      20   0   39900  20220  11416 S   0.0   0.1   0:00.05 networkd-dispat
    558 root      20   0    5548   3048   2824 S   0.0   0.0   0:00.00 rasdaemon
    562 syslog    20   0  236088   5320   3748 S   0.0   0.0   0:03.48 rsyslogd
    564 root      20   0   10400   5288   4376 S   0.0   0.0   0:00.05 smartd
    566 root      20   0  134768  25676  20772 S   0.0   0.1   0:00.81 sssd
    567 root      20   0  126264   9088   8268 S   0.0   0.0   0:19.50 thermald
    568 root      20   0  393212  11804   9852 S   0.0   0.0   0:00.29 udisksd
